block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
b_2-19-3,19,1,0,Red River College via Logan,1157,3,9316_merged_74843
b_1-55-20,55,1,1,Portage & Garry,1367,2_merged_61273,4796_merged_76391
b_1-18-20,18,1,1,Tuxedo,1107,2_merged_61273,1819_merged_73372
a_1-19-7,19,1,1,Windsor Park via Drake,1160,4_merged_61272,2025_merged_69842
b_2-1-1,1,1,0,The Forks,865,3,8047_merged_72881
a_1-160-3,160,1,1,Downtown,1052,4_merged_61272,7753_merged_62589
a_1-10-5,10,1,0,St. Boniface via Provencher,872,4_merged_61272,205_merged_66821
b_2-29-1,29,1,1,Logan,1235,3,9756
b_2-29-1,29,1,0,City Hall,1236,3,9755
b_1-99-2,99,1,0,Windermere & Pembina,1577,2_merged_61273,7305_merged_73559
a_2-20-1,20,1,0,Watt & Leighton,1178,1,9753
a_2-20-1,20,1,1,Airport Terminal,1179,1,9752
a_2-20-1,20,1,0,Watt & Leighton,1178,1,9751
a_2-20-1,20,1,1,Airport Terminal,1179,1,9750
a_1-86-2,86,1,1,Fort Rouge Station,1954,4_merged_61272,6808_merged_66040
a_3-47-3,47,1,0,Transcona via Regent,1328,2_merged_61271,14058_merged_62072
a_1-99-1,99,1,0,Misericordia Health Centre,1574,4_merged_61272,7497_merged_62066
b_1-19-15,19,1,1,Windsor Park via Drake,1153,2_merged_61273,2037_merged_70797
a_3-19-1,19,1,0,Red River College via Logan,1154,2_merged_61271,13467_merged_64117
a_1-51-2,58,1,1,City Hall,1378,4_merged_61272,4573_merged_61881
a_1-77-3,66,1,1,Downtown,1407,4_merged_61272,6228_merged_66382
a_1-45-4,45,1,1,Downtown,1311,4_merged_61272,4151_merged_69330
b_3-20-1,20,1,1,Airport Terminal,1179,4_merged_61274,13176_merged_72270
b_6-60-50,60,1,0,University of Manitoba,1387,18531-special,18531
b_6-60-50,60,1,1,Downtown,1388,18532-special,18532
a_1-95-1,95,1,1,Riverview,1887,4_merged_61272,7267_merged_66025
a_3-11-6,11,1,1,Glenway,917,2_merged_61271,12799_merged_62470
a_1-83-1,83,1,1,Grace Hospital,1490,4_merged_61272,6639_merged_69693
