service_id,date,exception_type
18352-special,20190701,1
18696-special,20190701,1
18690-special,20190701,1
19269-special,20190701,1
17176-special,20190701,1
19209-special,20190701,1
17967-special,20190701,1
18974-special,20190701,1
18636-special,20190701,1
18942-special,20190701,1
17210-special,20190701,1
17160-special,20190701,1
18386-special,20190701,1
19030-special,20190701,1
18674-special,20190701,1
18855-special,20190701,1
17158-special,20190701,1
18139-special,20190701,1
18494-special,20190701,1
4_merged_61272,20190419,2
4_merged_61272,20190520,2
17916-special,20190701,1
17976-special,20190701,1
17746-special,20190701,1
17554-special,20190701,1
18962-special,20190701,1
18037-special,20190701,1
17452-special,20190701,1
17451-special,20190701,1
18641-special,20190701,1
18065-special,20190701,1
18438-special,20190701,1
18228-special,20190701,1
18591-special,20190701,1
18431-special,20190701,1
18355-special,20190701,1
17860-special,20190701,1
17589-special,20190701,1
17490-special,20190701,1
16964-special,20190701,1
18653-special,20190701,1
17649-special,20190701,1
17380-special,20190701,1
18426-special,20190701,1
17482-special,20190701,1
17514-special,20190701,1
19332-special,20190701,1
17232-special,20190701,1
18618-special,20190701,1
18432-special,20190701,1
18582-special,20190701,1
17679-special,20190701,1
18173-special,20190701,1
17669-special,20190701,1
17134-special,20190701,1
19230-special,20190701,1
19105-special,20190701,1
18004-special,20190701,1
19103-special,20190701,1
18115-special,20190701,1
18883-special,20190701,1
19185-special,20190701,1
17323-special,20190701,1
17580-special,20190701,1
19312-special,20190701,1
17582-special,20190701,1
18291-special,20190701,1
17681-special,20190701,1
19070-special,20190701,1
17772-special,20190701,1
19061-special,20190701,1
17734-special,20190701,1
17691-special,20190701,1
17141-special,20190701,1
18514-special,20190701,1
18994-special,20190701,1
17661-special,20190701,1
19013-special,20190701,1
17122-special,20190701,1
19015-special,20190701,1
18217-special,20190701,1
18182-special,20190701,1
19133-special,20190701,1
19167-special,20190701,1
18913-special,20190701,1
17045-special,20190701,1
18806-special,20190701,1
17464-special,20190701,1
17651-special,20190701,1
18406-special,20190701,1
17250-special,20190701,1
17463-special,20190701,1
17545-special,20190701,1
18864-special,20190701,1
19190-special,20190701,1
17619-special,20190701,1
18541-special,20190701,1
19272-special,20190701,1
18215-special,20190701,1
17714-special,20190701,1
19189-special,20190701,1
17339-special,20190701,1
17656-special,20190701,1
18090-special,20190701,1
18187-special,20190701,1
18801-special,20190701,1
18316-special,20190701,1
17341-special,20190701,1
18057-special,20190701,1
18054-special,20190701,1
17095-special,20190701,1
18349-special,20190701,1
18272-special,20190701,1
17523-special,20190701,1
18826-special,20190701,1
18676-special,20190701,1
18050-special,20190701,1
19267-special,20190701,1
18932-special,20190701,1
17817-special,20190701,1
17540-special,20190701,1
17507-special,20190701,1
18017-special,20190701,1
18597-special,20190701,1
19228-special,20190701,1
17810-special,20190701,1
19047-special,20190701,1
17825-special,20190701,1
18379-special,20190701,1
18560-special,20190701,1
17425-special,20190701,1
17415-special,20190701,1
17503-special,20190701,1
19129-special,20190701,1
17773-special,20190701,1
17354-special,20190701,1
18745-special,20190701,1
17040-special,20190701,1
17806-special,20190701,1
18342-special,20190701,1
19246-special,20190701,1
17870-special,20190701,1
18242-special,20190701,1
17911-special,20190701,1
17777-special,20190701,1
18504-special,20190701,1
18919-special,20190701,1
17306-special,20190701,1
17897-special,20190701,1
17402-special,20190701,1
17321-special,20190701,1
17591-special,20190701,1
17193-special,20190701,1
